% min: [7.232822, 9.483873, 1.00919, 0.448446, 0.451633, 0.854304, 9.635544, 6.669126] 
% max: [383.032661, 316.851432, 170.252791, 75.799328, 74.505034, 167.726755, 329.469749, 335.216314] 
% i/o: [8, 5] 
@relation 'data10000'
@attribute FD1 numeric
@attribute FD2 numeric
@attribute FD3 numeric
@attribute FD4 numeric
@attribute FD5 numeric
@attribute FD6 numeric
@attribute FD7 numeric
@attribute FD8 numeric
@attribute State {1,2,3,4,5}

@data
44.101526,37.027008,13.115234,6.244304,6.127831,12.868737,36.811632,42.882700,3
50.434467,37.589434,11.210694,6.308888,6.062328,11.117716,35.603090,48.672664,3
44.114534,38.813050,12.903403,7.703491,7.676233,12.399170,38.510620,39.392493,3
44.981165,38.459484,11.051161,7.196099,7.177502,10.722778,37.618053,39.908840,3
45.092967,38.393990,15.070200,7.609637,7.426181,14.927240,37.275540,40.218366,3
43.299940,38.451757,12.001228,6.679845,6.727555,11.592165,36.307507,38.393677,3
45.540475,37.247592,13.350920,7.911270,7.846368,12.877992,36.182431,38.897619,3
44.740759,37.384479,12.952854,7.378650,7.064842,12.798147,36.414066,37.816378,3
44.769087,38.718089,12.383825,6.878631,6.591272,12.299637,37.425820,38.187056,3
42.414479,41.124894,11.923733,6.581878,6.379987,12.036618,40.136875,36.150116,3
42.849884,41.075076,13.212506,9.226856,9.510850,13.167003,40.004807,37.479658,3
42.881356,40.891352,14.797803,8.695231,8.561746,14.405732,40.252583,37.878914,3
41.598623,40.350851,12.728796,7.654428,7.458701,11.860472,39.415975,37.736186,3
39.919923,40.236275,14.770280,7.123119,7.015627,13.554385,40.652378,36.116974,3
39.759234,40.339628,12.911422,8.141680,7.598090,12.397853,39.669158,37.634103,3
43.213105,38.085832,12.514632,9.116424,8.708731,12.760469,37.095077,41.534876,3
42.592157,37.635276,13.717760,8.984099,9.269769,13.334340,36.521653,41.841911,3
39.052103,38.104898,12.542673,8.471526,7.953686,12.077408,38.657487,38.907054,3
34.580238,37.122070,14.186655,8.498949,7.821653,13.247948,37.176882,36.035714,3
32.666549,37.240008,12.852679,7.633880,7.438826,11.616745,38.089131,31.874106,3
32.136171,38.014101,10.464026,7.510706,7.134923,10.119996,38.650637,30.939110,3
32.976057,37.687693,11.648558,7.440589,6.946401,11.508367,37.055247,34.336852,3
32.649551,32.379702,13.212079,7.498167,6.994928,12.118733,32.713856,33.524356,3
31.596076,31.640270,16.899360,9.505841,9.692625,14.795087,32.707385,31.765167,3
33.334107,32.766652,11.432536,8.347518,7.924170,10.304645,33.417744,32.683754,3
30.696348,36.622895,10.626056,7.303360,6.894347,9.438432,36.507854,29.400994,3
40.276972,31.773197,10.243956,7.434511,7.036471,9.358364,32.906704,35.575907,3
38.605915,31.635664,10.024983,8.071686,7.601052,8.636862,32.507681,33.919228,3
38.968826,31.881158,10.968372,7.887817,7.433409,9.195286,33.601207,33.086327,3
40.483417,31.154262,9.949876,7.527291,6.992171,8.624993,32.450726,34.269387,3
38.962534,30.592926,11.335334,7.883859,7.435122,10.538245,31.345227,32.713727,3
39.100531,31.127777,11.932674,7.443309,6.958490,11.340169,31.706682,32.833128,3
41.120128,32.156179,11.498809,7.524919,7.331896,10.025761,33.562235,34.238440,3
34.660151,35.815593,11.610073,7.539157,7.185722,9.799137,37.274056,29.387232,3
32.658652,37.993165,11.923448,6.657299,6.654579,10.751671,38.760105,28.262006,3
32.454097,37.499255,12.374847,7.879540,7.777240,11.703465,38.094959,28.603122,3
32.224441,38.173534,12.909499,7.850949,7.866054,12.604717,37.938365,29.107960,3
32.913105,37.146831,10.662571,6.357925,5.898882,9.959427,36.906071,30.745202,3
30.622377,35.118784,13.888640,6.882684,6.012092,12.577845,36.590076,27.820351,3
32.175749,37.665676,11.569272,6.038806,5.687876,10.701885,38.442440,29.762970,3
35.384075,37.601620,12.970878,6.895286,6.967705,12.467908,37.964570,33.854188,3
34.912125,39.346109,12.814613,7.677795,7.158310,13.425069,39.365328,33.709536,3
37.418650,39.785873,10.912211,5.766717,5.502148,10.400161,39.992277,37.284091,3
35.566347,38.500567,12.102366,6.099849,6.350002,10.802033,39.471885,35.598224,3
35.734284,36.786557,11.704148,6.225976,6.319353,10.750255,37.924638,35.738628,3
43.762842,36.325656,10.976154,5.921746,6.006140,10.517158,35.794859,43.399648,3
44.917191,38.325675,9.640454,6.054402,6.136498,9.281393,38.001761,42.945648,3
49.732055,36.654796,9.913945,5.970942,5.890745,9.317315,36.107965,46.668343,3
50.821657,37.224825,10.834816,7.090075,7.221428,10.116495,36.183006,48.891339,3
50.084950,38.196582,11.024594,6.518650,6.507693,10.543943,37.345033,48.738223,3
49.210610,36.379360,10.449420,7.355205,7.224912,10.157149,35.754868,48.108109,3
49.854388,35.972977,11.136236,6.564156,6.467138,11.009887,35.107163,49.111159,3
50.909403,35.090833,9.872401,6.579779,6.525566,9.754630,33.753785,50.715233,3
49.826510,34.947226,12.344568,8.527228,8.502973,11.768457,34.938533,49.202216,3
51.944984,35.412495,13.702027,7.600889,7.321850,13.082528,35.866739,50.192735,3
55.175494,34.421811,11.291481,5.978045,6.161505,10.703024,33.436100,53.735361,3
54.103453,34.075629,9.766222,7.278765,7.495028,9.866762,32.815949,51.522464,3
54.721975,34.468005,10.323844,6.954998,7.496664,10.144245,33.609418,51.929553,3
51.997190,36.527016,10.239722,6.124434,6.737774,9.835158,35.210732,51.401496,3
52.390271,37.060153,9.439495,6.247844,6.673977,9.075296,35.835658,53.693788,3
46.250384,38.311393,9.542579,8.473446,9.112184,8.913254,38.035299,46.693259,3
50.507453,37.927351,12.768166,7.445543,7.531945,12.461875,37.754676,48.691728,3
53.556301,37.880021,9.565733,6.851811,6.879971,9.821768,36.762486,51.406100,3
54.013094,37.013768,11.493191,6.723379,6.921584,11.304611,36.990377,50.808396,3
52.993475,35.238643,10.867048,7.440386,7.412119,10.765987,35.093554,49.156715,3
53.543502,36.194542,13.718747,7.206408,7.489273,13.498384,35.258455,50.928459,3
53.038613,36.303397,12.974161,6.385968,6.665237,12.807863,35.036848,50.727057,3
52.882153,37.582720,12.637521,6.323482,6.627454,12.430786,36.480876,50.633056,3
51.360179,36.325491,12.179391,6.579182,6.671747,11.781751,35.170247,49.825213,3
55.977314,34.416313,12.646371,6.013502,6.180884,12.595033,32.760911,53.710897,3
54.550382,35.263397,14.937370,8.223383,8.652244,14.472692,35.023377,49.928045,3
54.989290,35.345228,13.682379,6.378449,6.710893,13.310219,35.067250,50.009438,3
56.606395,33.008215,12.811445,6.641623,6.774192,12.418377,32.417683,52.676713,3
51.234993,34.561686,15.420820,8.156784,8.036167,14.416407,35.439658,47.382620,3
48.999710,33.310214,13.729747,8.411532,8.312331,13.001081,34.228147,45.702925,3
48.380886,33.722153,12.612022,6.796972,6.967216,12.490867,33.491626,46.154350,3
45.191632,32.240356,13.316870,7.318024,7.725651,13.530574,32.319183,42.811765,3
47.269348,32.621728,11.861612,6.649548,6.978254,11.661793,32.404998,44.878739,3
47.375621,32.539496,13.013979,7.040920,7.641504,12.470314,32.843020,44.407518,3
42.342015,33.844296,14.440512,7.333157,7.726771,13.264009,33.562041,39.108043,3
43.307278,35.500461,13.238049,7.198369,7.590229,12.639645,34.093898,41.666682,3
46.960645,34.734824,13.025263,7.334015,7.699776,12.898360,33.857026,45.990353,3
47.535638,34.461166,14.184793,7.837615,7.864304,13.273954,33.847270,48.528597,3
47.977079,35.421058,15.202198,8.542196,8.320633,13.884962,35.965570,47.867221,3
48.395327,35.717159,15.571052,8.771365,8.425120,14.651478,35.833880,47.852969,3
50.463164,39.644646,14.035018,8.396103,8.860670,13.822948,39.091136,49.648286,3
49.935402,39.488358,13.640891,8.064039,8.121799,13.899060,38.743448,49.271983,3
47.389569,38.525348,13.626631,8.225913,7.946643,13.428027,37.801828,47.827458,3
46.141875,35.984042,16.116339,7.811563,7.716445,15.145570,36.589256,46.802235,3
45.036987,37.078578,15.591616,7.963127,8.366448,14.439321,36.899076,45.718793,3
46.342811,38.411694,15.480393,7.838819,7.622780,15.041723,37.521681,47.899278,3
45.720847,37.683187,14.673090,8.544601,8.031129,14.992919,36.971453,46.156376,3
46.362021,40.155821,16.699938,8.510253,8.316411,16.357653,39.434391,46.691626,3
42.503598,38.169807,17.163414,8.977601,9.175041,16.020312,38.231749,41.813325,3
